ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
EXPD,Expeditors International,746515,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/expd.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
XOM,ExxonMobil,34088,Energy,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/xom.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FFIV,"F5, Inc.",1048695,Information Technology,active,,profiles/ffiv.yaml,2026-06-04T11:59:57Z,2026-03-31,,0,
FICO,Fair Isaac,814547,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fico.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FAST,Fastenal,815556,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fast.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FDX,FedEx,1048911,Industrials,active,,C:\Users\lukas\sec-derivatives\profiles\fdx.yaml,2026-03-25T02:23:52Z,2026-02-28,,,
FSLR,First Solar,1274494,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fslr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FE,FirstEnergy,1031296,Utilities,active,,profiles/fe.yaml,2026-06-04T11:59:57Z,2026-03-31,,0,
F,Ford Motor Company,37996,industrials,active,active_fx_commodity_hedger,profiles/f.yaml,2026-06-03T10:44:41Z,,,0,
FTNT,Fortinet,1262039,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ftnt.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
FTV,Fortive,1659166,Industrials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ftv.yaml,2026-06-03T10:44:41Z,2026-04-03,,0,
FOXA,Fox Corporation (Class A),1754301,Communication Services,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/foxa.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
